CityName,CityPopulation,CountryName,Continent,Region,LandMass,IndepYear,CountryPopulation,LifeExpectancy,GNP,GovernmentForm,HeadOfState,Capital,Language,Percentage
Berazategui,276916,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Corrientes,258103,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Miguel,248700,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Bahía Blanca,239810,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Esteban Echeverría,235760,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Resistencia,229212,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
José C. Paz,221754,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Paraná,207041,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Godoy Cruz,206998,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Posadas,201273,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Guaymallén,200595,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Santiago del Estero,189947,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Salvador de Jujuy,178748,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Hurlingham,170028,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Neuquén,167296,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Ituzaingó,158197,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Fernando,153036,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Formosa,147636,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Las Heras,145823,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
La Rioja,138117,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Fernando del Valle de Cata,134935,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Río Cuarto,134355,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Comodoro Rivadavia,124104,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Mendoza,123027,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Nicolás de los Arroyos,119302,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Juan,119152,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Escobar,116675,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Concordia,116485,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Pilar,113428,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Luis,110136,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Ezeiza,99578,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
San Rafael,94651,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Tandil,91101,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Indian Languages,0.3
Buenos Aires,2982146,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
La Matanza,1266461,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Córdoba,1157507,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Rosario,907718,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Lomas de Zamora,622013,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Quilmes,559249,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Almirante Brown,538918,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
La Plata,521936,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Mar del Plata,512880,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
San Miguel de Tucumán,470809,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Lanús,469735,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Merlo,463846,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
General San Martín,422542,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Salta,367550,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Moreno,356993,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Santa Fé,353063,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Avellaneda,353046,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Tres de Febrero,352311,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Morón,349246,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Florencio Varela,315432,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
San Isidro,306341,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Tigre,296226,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Malvinas Argentinas,290335,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Vicente López,288341,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Berazategui,276916,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Corrientes,258103,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
San Miguel,248700,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Bahía Blanca,239810,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Esteban Echeverría,235760,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
Resistencia,229212,Argentina,South America,South America,2780400,1816,37032000,75.1,340238,Federal Republic,Fernando de la Rúa,Buenos Aires,Italian,1.7
